time,trig,echo
0.00268306,-0.0241336,4.8143
0.00268558,-0.0130959,4.81058
0.0026881,-0.0241336,4.80686
0.00269062,-0.0167751,4.81058
0.00269314,-0.0204544,4.8143
0.00269566,-0.0204544,4.81058
0.00269818,-0.0241336,4.81058
0.0027007,-0.0204544,4.81802
0.00270322,-0.0204544,4.8143
0.00270574,-0.0204544,4.81058
0.00270826,-0.0204544,4.8143
0.00271078,-0.0204544,4.81058
0.0027133,-0.0241336,4.8143
0.00271582,-0.0167751,4.8143
0.00271834,-0.0278129,4.81058
0.00272086,-0.0241336,4.8143
0.00272338,-0.0241336,4.8143
0.0027259,-0.0167751,4.8143
0.00272842,-0.0204544,4.81058
0.00273094,-0.0204544,4.80686
0.00273346,-0.0241336,4.81058
0.00273598,-0.0167751,4.81802
0.0027385,-0.0167751,4.81058
0.00274102,-0.0204544,4.8143
0.00274354,-0.0241336,4.80686
0.00274606,-0.0241336,4.81058
0.00274858,-0.0204544,4.81058
0.0027511,-0.0241336,4.8143
0.00275362,-0.0204544,4.80686
0.00275614,-0.0204544,4.8143
0.00275866,-0.0167751,4.8143
0.00276118,-0.0167751,4.8143
0.0027637,-0.0241336,4.8143
0.00276622,-0.0167751,4.8143
0.00276874,-0.0204544,4.81058
0.00277126,-0.0204544,4.81058
0.00277378,-0.0241336,4.81058
0.0027763,-0.0130959,4.80686
0.00277882,-0.0241336,4.80686
0.00278134,-0.0130959,4.80686
0.00278386,-0.0278129,4.8143
0.00278638,-0.0167751,4.81058
0.0027889,-0.0204544,4.81058
0.00279142,-0.0241336,4.81058
0.00279394,-0.0167751,4.81802
0.00279646,-0.0167751,4.8143
0.00279898,-0.0278129,4.81058
0.0028015,-0.0204544,4.81802
0.00280402,-0.0167751,4.81058
0.00280654,-0.0167751,4.81802
0.00280906,-0.0204544,4.81058
0.00281158,-0.0241336,4.81058
0.0028141,-0.0241336,4.8143
0.00281662,-0.0130959,4.81058
0.00281914,-0.0241336,4.8143
0.00282166,-0.0204544,4.81802
0.00282418,-0.0204544,4.81058
0.0028267,-0.0167751,4.81802
0.00282922,-0.0241336,4.81058
0.00283174,-0.0241336,4.8143
0.00283426,-0.0241336,4.8143
0.00283678,-0.0204544,4.81058
0.0028393,-0.0241336,4.81058
0.00284182,-0.0204544,4.81058
0.00284434,-0.0204544,4.8143
0.00284686,-0.0204544,4.8143
0.00284938,-0.0167751,4.81802
0.0028519,-0.0130959,4.81058
0.00285442,-0.0241336,4.81058
0.00285694,-0.0204544,4.81802
0.00285946,-0.0130959,4.8143
0.00286198,-0.0204544,4.8143
0.0028645,-0.0130959,4.8143
0.00286702,-0.0204544,4.81802
0.00286954,-0.0204544,4.81058
0.00287206,-0.0167751,4.81058
0.00287458,-0.0204544,4.8143
0.0028771,-0.0167751,4.81058
0.00287962,-0.0167751,4.8143
0.00288214,-0.0204544,4.8143
0.00288466,-0.0241336,4.81058
0.00288718,-0.0204544,4.8143
0.0028897,-0.0204544,4.81802
0.00289222,-0.0241336,4.81058
0.00289474,-0.0204544,4.81058
0.00289726,-0.0167751,4.8143
0.00289978,-0.0204544,4.8143
0.0029023,-0.0204544,4.8143
0.00290482,-0.0204544,4.8143
0.00290734,-0.0278129,4.81058
0.00290986,-0.0204544,4.81802
0.00291238,-0.0278129,4.8143
0.0029149,-0.0130959,4.81802
0.00291742,-0.0241336,4.81058
0.00291994,-0.0204544,4.8143
0.00292246,-0.0278129,4.8143
0.00292498,-0.0204544,4.81058
0.0029275,-0.0204544,4.81058
0.00293002,-0.0241336,4.80686
0.00293254,-0.0167751,4.8143
0.00293506,-0.0241336,4.81058
0.00293758,-0.0204544,4.8143
0.0029401,-0.0204544,4.81802
0.00294262,-0.0204544,4.8143
0.00294514,-0.0241336,4.8143
0.00294766,-0.0241336,4.80686
0.00295018,-0.0204544,4.81058
0.0029527,-0.0204544,4.8143
0.00295522,-0.0204544,4.81058
0.00295774,-0.0204544,4.8143
0.00296026,-0.0167751,4.81058
0.00296278,-0.0204544,4.8143
0.0029653,-0.0204544,4.81802
0.00296782,-0.0241336,4.8143
0.00297034,-0.0241336,4.81802
0.00297286,-0.0241336,4.81802
0.00297538,-0.0241336,4.8143
0.0029779,-0.0204544,4.81802
0.00298042,-0.0204544,4.81058
0.00298294,-0.0278129,4.81058
0.00298546,-0.0167751,4.8143
0.00298798,-0.0204544,4.81058
0.0029905,-0.0204544,4.8143
0.00299302,-0.0204544,4.8143
0.00299554,-0.0130959,4.8143
0.00299806,-0.0278129,4.81058
0.00300058,-0.0204544,4.8143
0.0030031,-0.0241336,4.8143
0.00300562,-0.0204544,4.8143
0.00300814,-0.0204544,4.81058
0.00301066,-0.0204544,4.8143
0.00301318,-0.0167751,4.81058
0.0030157,-0.0204544,4.81802
0.00301822,-0.0130959,4.8143
0.00302074,-0.0241336,4.80686
0.00302326,-0.0204544,4.81058
0.00302578,-0.0204544,4.81058
0.0030283,-0.0167751,4.81058
0.00303082,-0.0204544,4.81058
0.00303334,-0.0167751,4.80686
0.00303586,-0.0204544,4.8143
0.00303838,-0.0167751,4.8143
0.0030409,-0.0204544,4.81058
0.00304342,-0.0130959,4.8143
0.00304594,-0.0167751,4.81058
0.00304846,-0.0241336,4.8143
0.00305098,-0.0241336,4.8143
0.0030535,-0.0204544,4.81802
0.00305602,-0.0167751,4.8143
0.00305854,-0.0204544,4.8143
0.00306106,-0.0204544,4.81802
0.00306358,-0.0167751,4.81058
0.0030661,-0.0204544,4.8143
0.00306862,-0.0204544,4.8143
0.00307114,-0.0204544,4.81802
