time,echo,trig
0.0009176,4.87561,-0.00695145
0.00091908,4.87611,-0.00661297
0.00092056,4.87611,-0.00660875
0.00092204,4.87677,-0.00695145
0.00092352,4.87678,-0.00728992
0.000925,4.87594,-0.0067801
0.00092648,4.87644,-0.0067801
0.00092796,4.87661,-0.0072857
0.00092944,4.87661,-0.00695145
0.00093092,4.87594,-0.00678432
0.0009324,4.87561,-0.00695145
0.00093388,4.87527,-0.0067801
0.00093536,4.8756,-0.0071228
0.00093684,4.87494,-0.00695145
0.00093832,4.87577,-0.0076284
0.0009398,4.87611,-0.00695145
0.00094128,4.87594,-0.00644162
0.00094276,4.87527,-0.00729415
0.00094424,4.87493,-0.00711857
0.00094572,4.8746,-0.00746127
0.0009472,4.87393,-0.0071228
0.00094868,4.87477,-0.00677587
0.00095016,4.87443,-0.00711857
0.00095164,4.87493,-0.00695567
0.00095312,4.87561,-0.00694722
0.0009546,4.87527,-0.00695145
0.00095608,4.87477,-0.00695145
0.00095756,4.8741,-0.0071228
0.00095904,4.8746,-0.0071228
0.00096052,4.87326,-0.0071228
0.000962,4.87477,-0.00729415
0.00096348,4.8746,-0.00711857
0.00096496,4.87477,-0.00728992
0.00096644,4.87427,-0.00661297
0.00096792,4.87443,-0.00695145
0.0009694,4.87426,-0.00695567
0.00097088,4.87376,-0.00678432
0.00097236,4.8746,-0.00695145
0.00097384,4.87477,-0.00660875
0.00097532,4.87527,-0.0067801
0.0009768,4.87561,-0.00695145
0.00097828,4.87577,-0.00728992
0.00097976,4.87594,-0.00695145
0.00098124,4.87426,-0.00678432
0.00098272,4.87443,-0.00644162
0.0009842,4.8746,-0.00678432
0.00098568,4.8751,-0.0071228
0.00098716,4.87543,-0.00695145
0.00098864,4.87644,-0.00695145
0.00099012,4.87644,-0.00728992
0.0009916,4.87711,-0.00678432
0.00099308,4.8761,-0.00695145
0.00099456,4.87611,-0.0076284
0.00099604,4.87527,-0.00762418
0.00099752,4.87493,-0.00728992
